"V1","GCM","SSP","studyArea","gmcsDriver","Replicates","simulateAM","AMscenario","complete"
1,"CanESM5",245,"SB","LandRCSAM",1,TRUE,TRUE,NA
2,"CNRM-ESM2-1",245,"SB","LandRCSAM",1,TRUE,TRUE,NA
3,"ACCESS-ESMI1-5",245,"SB","LandRCSAM",1,TRUE,TRUE,NA
4,"CanESM5",370,"SB","LandRCSAM",1,TRUE,TRUE,NA
5,"CNRM-ESM2-1",370,"SB","LandRCSAM",1,TRUE,TRUE,TRUE
6,"ACCESS-ESMI1-5",370,"SB","LandRCSAM",1,TRUE,TRUE,NA
7,"CanESM5",245,"SB","LandRCSAM",2,TRUE,TRUE,NA
8,"CNRM-ESM2-1",245,"SB","LandRCSAM",2,TRUE,TRUE,NA
9,"ACCESS-ESMI1-5",245,"SB","LandRCSAM",2,TRUE,TRUE,NA
10,"CanESM5",370,"SB","LandRCSAM",2,TRUE,TRUE,NA
11,"CNRM-ESM2-1",370,"SB","LandRCSAM",2,TRUE,TRUE,TRUE
12,"ACCESS-ESMI1-5",370,"SB","LandRCSAM",2,TRUE,TRUE,NA
13,"CanESM5",245,"SB","LandRCSAM",3,TRUE,TRUE,NA
14,"CNRM-ESM2-1",245,"SB","LandRCSAM",3,TRUE,TRUE,NA
15,"ACCESS-ESMI1-5",245,"SB","LandRCSAM",3,TRUE,TRUE,NA
16,"CanESM5",370,"SB","LandRCSAM",3,TRUE,TRUE,NA
17,"CNRM-ESM2-1",370,"SB","LandRCSAM",3,TRUE,TRUE,TRUE
18,"ACCESS-ESMI1-5",370,"SB","LandRCSAM",3,TRUE,TRUE,NA
19,"CanESM5",245,"SB","LandRCSAM",1,TRUE,FALSE,NA
20,"CNRM-ESM2-1",245,"SB","LandRCSAM",1,TRUE,FALSE,NA
21,"ACCESS-ESMI1-5",245,"SB","LandRCSAM",1,TRUE,FALSE,NA
22,"CanESM5",370,"SB","LandRCSAM",1,TRUE,FALSE,NA
23,"CNRM-ESM2-1",370,"SB","LandRCSAM",1,TRUE,FALSE,NA
24,"ACCESS-ESMI1-5",370,"SB","LandRCSAM",1,TRUE,FALSE,NA
25,"CanESM5",245,"SB","LandRCSAM",2,TRUE,FALSE,NA
26,"CNRM-ESM2-1",245,"SB","LandRCSAM",2,TRUE,FALSE,NA
27,"ACCESS-ESMI1-5",245,"SB","LandRCSAM",2,TRUE,FALSE,NA
28,"CanESM5",370,"SB","LandRCSAM",2,TRUE,FALSE,NA
29,"CNRM-ESM2-1",370,"SB","LandRCSAM",2,TRUE,FALSE,NA
30,"ACCESS-ESMI1-5",370,"SB","LandRCSAM",2,TRUE,FALSE,NA
31,"CanESM5",245,"SB","LandRCSAM",3,TRUE,FALSE,NA
32,"CNRM-ESM2-1",245,"SB","LandRCSAM",3,TRUE,FALSE,NA
33,"ACCESS-ESMI1-5",245,"SB","LandRCSAM",3,TRUE,FALSE,NA
34,"CanESM5",370,"SB","LandRCSAM",3,TRUE,FALSE,NA
35,"CNRM-ESM2-1",370,"SB","LandRCSAM",3,TRUE,FALSE,NA
36,"ACCESS-ESMI1-5",370,"SB","LandRCSAM",3,TRUE,FALSE,NA
