"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","packages/x86_64-pc-linux-gnu/4.1/","1.4-5",NA,NA,NA,NA
"amc","packages/x86_64-pc-linux-gnu/4.1/","0.2.1","amc","achubaty","development","15c5229951700f9a638fd186f176f0e793d76c10"
"archive","packages/x86_64-pc-linux-gnu/4.1/","1.1.4",NA,NA,NA,NA
"arm","packages/x86_64-pc-linux-gnu/4.1/","1.12-2",NA,NA,NA,NA
"askpass","packages/x86_64-pc-linux-gnu/4.1/","1.1",NA,NA,NA,NA
"assertthat","packages/x86_64-pc-linux-gnu/4.1/","0.2.1",NA,NA,NA,NA
"backports","packages/x86_64-pc-linux-gnu/4.1/","1.4.1",NA,NA,NA,NA
"base64enc","packages/x86_64-pc-linux-gnu/4.1/","0.1-3",NA,NA,NA,NA
"BiocManager","packages/x86_64-pc-linux-gnu/4.1/","1.30.16",NA,NA,NA,NA
"bit","packages/x86_64-pc-linux-gnu/4.1/","4.0.4",NA,NA,NA,NA
"bit64","packages/x86_64-pc-linux-gnu/4.1/","4.0.5",NA,NA,NA,NA
"bitops","packages/x86_64-pc-linux-gnu/4.1/","1.0-7",NA,NA,NA,NA
"blme","packages/x86_64-pc-linux-gnu/4.1/","1.0-5",NA,NA,NA,NA
"blob","packages/x86_64-pc-linux-gnu/4.1/","1.2.2",NA,NA,NA,NA
"brew","packages/x86_64-pc-linux-gnu/4.1/","1.0-6",NA,NA,NA,NA
"brio","packages/x86_64-pc-linux-gnu/4.1/","1.1.3",NA,NA,NA,NA
"broom","packages/x86_64-pc-linux-gnu/4.1/","0.7.10",NA,NA,NA,NA
"broom.mixed","packages/x86_64-pc-linux-gnu/4.1/","0.2.7",NA,NA,NA,NA
"bslib","packages/x86_64-pc-linux-gnu/4.1/","0.3.1",NA,NA,NA,NA
"cachem","packages/x86_64-pc-linux-gnu/4.1/","1.0.6",NA,NA,NA,NA
"callr","packages/x86_64-pc-linux-gnu/4.1/","3.7.0",NA,NA,NA,NA
"car","packages/x86_64-pc-linux-gnu/4.1/","3.0-11",NA,NA,NA,NA
"carData","packages/x86_64-pc-linux-gnu/4.1/","3.0-4",NA,NA,NA,NA
"caret","packages/x86_64-pc-linux-gnu/4.1/","6.0-90",NA,NA,NA,NA
"cellranger","packages/x86_64-pc-linux-gnu/4.1/","1.1.0",NA,NA,NA,NA
"checkmate","packages/x86_64-pc-linux-gnu/4.1/","2.0.0",NA,NA,NA,NA
"CircStats","packages/x86_64-pc-linux-gnu/4.1/","0.2-6",NA,NA,NA,NA
"classInt","packages/x86_64-pc-linux-gnu/4.1/","0.4-3",NA,NA,NA,NA
"cli","packages/x86_64-pc-linux-gnu/4.1/","3.2.0",NA,NA,NA,NA
"climateData","packages/x86_64-pc-linux-gnu/4.1/","0.0.0.9005","climateData","PredictiveEcology","development","bc5a58fe968b8f0677ee7765bcd373930dad6143"
"clipr","packages/x86_64-pc-linux-gnu/4.1/","0.7.1",NA,NA,NA,NA
"clisymbols","packages/x86_64-pc-linux-gnu/4.1/","1.2.0",NA,NA,NA,NA
"coda","packages/x86_64-pc-linux-gnu/4.1/","0.19-4",NA,NA,NA,NA
"colorspace","packages/x86_64-pc-linux-gnu/4.1/","2.0-3",NA,NA,NA,NA
"config","packages/x86_64-pc-linux-gnu/4.1/","0.3.1",NA,NA,NA,NA
"conquer","packages/x86_64-pc-linux-gnu/4.1/","1.2.0",NA,NA,NA,NA
"corrplot","packages/x86_64-pc-linux-gnu/4.1/","0.90",NA,NA,NA,NA
"covr","packages/x86_64-pc-linux-gnu/4.1/","3.5.1",NA,NA,NA,NA
"cowplot","packages/x86_64-pc-linux-gnu/4.1/","1.1.1",NA,NA,NA,NA
"cpp11","packages/x86_64-pc-linux-gnu/4.1/","0.4.0",NA,NA,NA,NA
"crayon","packages/x86_64-pc-linux-gnu/4.1/","1.5.0",NA,NA,NA,NA
"credentials","packages/x86_64-pc-linux-gnu/4.1/","1.3.1",NA,NA,NA,NA
"curl","packages/x86_64-pc-linux-gnu/4.1/","4.3.2",NA,NA,NA,NA
"cyclocomp","packages/x86_64-pc-linux-gnu/4.1/","1.1.0",NA,NA,NA,NA
"data.table","packages/x86_64-pc-linux-gnu/4.1/","1.14.2",NA,NA,NA,NA
"DBI","packages/x86_64-pc-linux-gnu/4.1/","1.1.2",NA,NA,NA,NA
"deldir","packages/x86_64-pc-linux-gnu/4.1/","1.0-6",NA,NA,NA,NA
"DEoptim","packages/x86_64-pc-linux-gnu/4.1/","2.2-6",NA,NA,NA,NA
"DEoptimR","packages/x86_64-pc-linux-gnu/4.1/","1.0-10",NA,NA,NA,NA
"desc","packages/x86_64-pc-linux-gnu/4.1/","1.4.0",NA,NA,NA,NA
"devtools","packages/x86_64-pc-linux-gnu/4.1/","2.4.2",NA,NA,NA,NA
"diffobj","packages/x86_64-pc-linux-gnu/4.1/","0.3.5",NA,NA,NA,NA
"digest","packages/x86_64-pc-linux-gnu/4.1/","0.6.29",NA,NA,NA,NA
"diptest","packages/x86_64-pc-linux-gnu/4.1/","0.76-0",NA,NA,NA,NA
"dismo","packages/x86_64-pc-linux-gnu/4.1/","1.3-5",NA,NA,NA,NA
"doParallel","packages/x86_64-pc-linux-gnu/4.1/","1.0.16",NA,NA,NA,NA
"downlit","packages/x86_64-pc-linux-gnu/4.1/","0.4.0",NA,NA,NA,NA
"dplyr","packages/x86_64-pc-linux-gnu/4.1/","1.0.7",NA,NA,NA,NA
"e1071","packages/x86_64-pc-linux-gnu/4.1/","1.7-9",NA,NA,NA,NA
"ellipsis","packages/x86_64-pc-linux-gnu/4.1/","0.3.2",NA,NA,NA,NA
"EnvStats","packages/x86_64-pc-linux-gnu/4.1/","2.4.0",NA,NA,NA,NA
"evaluate","packages/x86_64-pc-linux-gnu/4.1/","0.14",NA,NA,NA,NA
"expm","packages/x86_64-pc-linux-gnu/4.1/","0.999-6",NA,NA,NA,NA
"fansi","packages/x86_64-pc-linux-gnu/4.1/","1.0.2",NA,NA,NA,NA
"farver","packages/x86_64-pc-linux-gnu/4.1/","2.1.0",NA,NA,NA,NA
"fastdigest","packages/x86_64-pc-linux-gnu/4.1/","0.6-3",NA,NA,NA,NA
"fastDummies","packages/x86_64-pc-linux-gnu/4.1/","1.6.3",NA,NA,NA,NA
"fasterize","packages/x86_64-pc-linux-gnu/4.1/","1.0.3",NA,NA,NA,NA
"fastmap","packages/x86_64-pc-linux-gnu/4.1/","1.1.0",NA,NA,NA,NA
"fastmatch","packages/x86_64-pc-linux-gnu/4.1/","1.1-3",NA,NA,NA,NA
"fastmatrix","packages/x86_64-pc-linux-gnu/4.1/","0.3-8196",NA,NA,NA,NA
"fastshp","packages/x86_64-pc-linux-gnu/4.1/","0.1-2","fastshp","s-u","HEAD","3e0eb833f6292013423d93c71f7c26f6dc2d70f1"
"fireSenseUtils","packages/x86_64-pc-linux-gnu/4.1/","0.0.5.9026","fireSenseUtils","PredictiveEcology","development","09b9ab959b429fea5954ed0a376adc88e3351196"
"FNN","packages/x86_64-pc-linux-gnu/4.1/","1.1.3",NA,NA,NA,NA
"foghorn","packages/x86_64-pc-linux-gnu/4.1/","1.4.2",NA,NA,NA,NA
"fontawesome","packages/x86_64-pc-linux-gnu/4.1/","0.2.2",NA,NA,NA,NA
"forcats","packages/x86_64-pc-linux-gnu/4.1/","0.5.1",NA,NA,NA,NA
"foreach","packages/x86_64-pc-linux-gnu/4.1/","1.5.1",NA,NA,NA,NA
"Formula","packages/x86_64-pc-linux-gnu/4.1/","1.2-4",NA,NA,NA,NA
"fpCompare","packages/x86_64-pc-linux-gnu/4.1/","0.2.3",NA,NA,NA,NA
"fs","packages/x86_64-pc-linux-gnu/4.1/","1.5.2",NA,NA,NA,NA
"future","packages/x86_64-pc-linux-gnu/4.1/","1.23.0",NA,NA,NA,NA
"future.apply","packages/x86_64-pc-linux-gnu/4.1/","1.8.1",NA,NA,NA,NA
"gamlss","packages/x86_64-pc-linux-gnu/4.1/","5.3-4",NA,NA,NA,NA
"gamlss.data","packages/x86_64-pc-linux-gnu/4.1/","6.0-1",NA,NA,NA,NA
"gamlss.dist","packages/x86_64-pc-linux-gnu/4.1/","5.3-2",NA,NA,NA,NA
"gargle","packages/x86_64-pc-linux-gnu/4.1/","1.2.0",NA,NA,NA,NA
"gdalUtilities","packages/x86_64-pc-linux-gnu/4.1/","1.2.0",NA,NA,NA,NA
"gdalUtils","packages/x86_64-pc-linux-gnu/4.1/","2.0.3.2",NA,NA,NA,NA
"gdata","packages/x86_64-pc-linux-gnu/4.1/","2.18.0",NA,NA,NA,NA
"generics","packages/x86_64-pc-linux-gnu/4.1/","0.1.1",NA,NA,NA,NA
"gert","packages/x86_64-pc-linux-gnu/4.1/","1.4.1",NA,NA,NA,NA
"ggplot2","packages/x86_64-pc-linux-gnu/4.1/","3.3.5",NA,NA,NA,NA
"ggpubr","packages/x86_64-pc-linux-gnu/4.1/","0.4.0",NA,NA,NA,NA
"ggrepel","packages/x86_64-pc-linux-gnu/4.1/","0.9.1",NA,NA,NA,NA
"ggsci","packages/x86_64-pc-linux-gnu/4.1/","2.9",NA,NA,NA,NA
"ggsignif","packages/x86_64-pc-linux-gnu/4.1/","0.6.3",NA,NA,NA,NA
"ggspatial","packages/x86_64-pc-linux-gnu/4.1/","1.1.5",NA,NA,NA,NA
"gh","packages/x86_64-pc-linux-gnu/4.1/","1.3.0",NA,NA,NA,NA
"gitcreds","packages/x86_64-pc-linux-gnu/4.1/","0.1.1",NA,NA,NA,NA
"glmm","packages/x86_64-pc-linux-gnu/4.1/","1.4.2",NA,NA,NA,NA
