GCM,SSP,studyArea,gmcsDriver,Replicates,simulateAM,AMscenario,complete,documented
ACCESS-ESMI1-5,245,SB,LandR,1,FALSE,FALSE,,
ACCESS-ESMI1-5,245,SB,LandR.CS,1,FALSE,FALSE,,
ACCESS-ESMI1-5,245,WB,LandR,1,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,245,WB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,245,WCB,LandR,1,FALSE,FALSE,,
ACCESS-ESMI1-5,245,WCB,LandR.CS,1,FALSE,FALSE,,
ACCESS-ESMI1-5,370,SB,LandR,1,FALSE,FALSE,,
ACCESS-ESMI1-5,370,SB,LandR.CS,1,FALSE,FALSE,,
ACCESS-ESMI1-5,370,WB,LandR,1,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,370,WB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,370,WCB,LandR,1,FALSE,FALSE,,
ACCESS-ESMI1-5,370,WCB,LandR.CS,1,FALSE,FALSE,,
CanESM5,245,SB,LandR,1,FALSE,FALSE,,
CanESM5,245,SB,LandR.CS,1,FALSE,FALSE,,
CanESM5,245,WB,LandR,1,FALSE,FALSE,TRUE,TRUE
CanESM5,245,WB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
CanESM5,245,WCB,LandR,1,FALSE,FALSE,,
CanESM5,245,WCB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
CanESM5,370,SB,LandR,1,FALSE,FALSE,,
CanESM5,370,SB,LandR.CS,1,FALSE,FALSE,,
CanESM5,370,WB,LandR,1,FALSE,FALSE,TRUE,TRUE
CanESM5,370,WB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
CanESM5,370,WCB,LandR,1,FALSE,FALSE,,
CanESM5,370,WCB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
CNRM-ESM2-1,245,SB,LandR,1,FALSE,FALSE,,
CNRM-ESM2-1,245,SB,LandR.CS,1,FALSE,FALSE,,
CNRM-ESM2-1,245,WB,LandR,1,FALSE,FALSE,TRUE,TRUE
CNRM-ESM2-1,245,WB,LandR.CS,1,FALSE,FALSE,TRUE,TRUE
CNRM-ESM2-1,245,WCB,LandR,1,FALSE,FALSE,,
CNRM-ESM2-1,245,WCB,LandR.CS,1,FALSE,FALSE,,
CNRM-ESM2-1,370,SB,LandR,1,FALSE,FALSE,,
CNRM-ESM2-1,370,SB,LandR.CS,1,FALSE,FALSE,,
CNRM-ESM2-1,370,WB,LandR,1,FALSE,FALSE,,
CNRM-ESM2-1,370,WB,LandR.CS,1,FALSE,FALSE,,
CNRM-ESM2-1,370,WCB,LandR,1,FALSE,FALSE,,
CNRM-ESM2-1,370,WCB,LandR.CS,1,FALSE,FALSE,,
historical,,SB,LandR,1,FALSE,FALSE,,
historical,,WB,LandR,1,FALSE,FALSE,,
historical,,WCB,LandR,1,FALSE,FALSE,,
ACCESS-ESMI1-5,245,SB,LandR,2,FALSE,FALSE,,
ACCESS-ESMI1-5,245,SB,LandR.CS,2,FALSE,FALSE,,
ACCESS-ESMI1-5,245,WB,LandR,2,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,245,WB,LandR.CS,2,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,245,WCB,LandR,2,FALSE,FALSE,,
ACCESS-ESMI1-5,245,WCB,LandR.CS,2,FALSE,FALSE,,
ACCESS-ESMI1-5,370,SB,LandR,2,FALSE,FALSE,,
ACCESS-ESMI1-5,370,SB,LandR.CS,2,FALSE,FALSE,,
ACCESS-ESMI1-5,370,WB,LandR,2,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,370,WB,LandR.CS,2,FALSE,FALSE,TRUE,TRUE
ACCESS-ESMI1-5,370,WCB,LandR,2,FALSE,FALSE,,
ACCESS-ESMI1-5,370,WCB,LandR.CS,2,FALSE,FALSE,,
CanESM5,245,SB,LandR,2,FALSE,FALSE,,
CanESM5,245,SB,LandR.CS,2,FALSE,FALSE,,
CanESM5,245,WB,LandR,2,FALSE,FALSE,TRUE,TRUE
CanESM5,245,WB,LandR.CS,2,FALSE,FALSE,TRUE,TRUE
CanESM5,245,WCB,LandR,2,FALSE,FALSE,,
CanESM5,245,WCB,LandR.CS,2,FALSE,FALSE,,
CanESM5,370,SB,LandR,2,FALSE,FALSE,,
CanESM5,370,SB,LandR.CS,2,FALSE,FALSE,,
CanESM5,370,WB,LandR,2,FALSE,FALSE,TRUE,TRUE
CanESM5,370,WB,LandR.CS,2,FALSE,FALSE,TRUE,TRUE
CanESM5,370,WCB,LandR,2,FALSE,FALSE,,
CanESM5,370,WCB,LandR.CS,2,FALSE,FALSE,,
CNRM-ESM2-1,245,SB,LandR,2,FALSE,FALSE,,
CNRM-ESM2-1,245,SB,LandR.CS,2,FALSE,FALSE,,
CNRM-ESM2-1,245,WB,LandR,2,FALSE,FALSE,TRUE,TRUE
CNRM-ESM2-1,245,WB,LandR.CS,2,FALSE,FALSE,TRUE,TRUE
CNRM-ESM2-1,245,WCB,LandR,2,FALSE,FALSE,,
CNRM-ESM2-1,245,WCB,LandR.CS,2,FALSE,FALSE,,
CNRM-ESM2-1,370,SB,LandR,2,FALSE,FALSE,,
